状態,銘柄,取引区分,条件,売買,発注数,値段,トリガー,予約値段,受付日時,有効期間,益出し幅,損切り幅,有効期間,状態,約定数,約定単価,約定時間
約定済,日経225mini22年06月限,新規(一日),-,買,1,28030,-,-,22/06/07 16:35,当場,100,-15,当場,発注済,1,28030,16:35
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28015,成行,22/06/07 16:35,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28015,成行,22/06/07 16:35,当場,-,-,-,-,1,28015,16:36
約定済,日経225mini22年06月限,新規(一日),-,買,1,28005,-,-,22/06/07 16:37,当場,100,-15,当場,発注済,1,28005,16:38
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28020,成行,22/06/07 16:37,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28020,成行,22/06/07 16:37,当場,-,-,-,-,1,28020,16:58
取消済,日経225mini22年06月限,新規(一日),-,売,1,28260,-,-,22/06/08 09:36,当場,取消済,取消済,取消済,取消済,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,28195,-,-,22/06/08 10:03,当場,45,-15,当場,発注済,1,28195,10:03
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28180,成行,22/06/08 10:03,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28180,成行,22/06/08 10:03,当場,-,-,-,-,1,28185,10:03
約定済,日経225mini22年06月限,新規(一日),-,買,1,28185,-,-,22/06/08 10:04,当場,-,-,-,-,1,28185,10:04
約定済,日経225mini22年06月限,返済(一日),-,売,1,成行,-,-,22/06/08 10:06,当場,-,-,-,-,1,28185,10:06
約定済,日経225mini22年06月限,新規(一日),-,買,1,28190,-,-,22/06/08 10:07,当場,45,-15,当場,発注済,1,28190,10:08
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28185,成行,22/06/08 10:07,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28185,成行,22/06/08 10:07,当場,-,-,-,-,1,28180,10:10
約定済,日経225mini22年06月限,新規(一日),-,買,1,28200,-,-,22/06/08 10:17,当場,45,-15,当場,発注済,1,28200,10:18
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 10:17,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 10:17,当場,-,-,-,-,1,28200,10:20
約定済,日経225mini22年06月限,新規(一日),-,売,1,28185,-,-,22/06/08 12:04,当場,-45,15,当場,発注済,1,28185,12:04
取消済,日経225mini22年06月限,返済(一日),追跡,買,1,28140,28200,成行,22/06/08 12:04,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),-,買,1,成行,-,-,22/06/08 12:08,当場,-,-,-,-,1,28170,12:08
約定済,日経225mini22年06月限,新規(一日),-,買,1,28160,-,-,22/06/08 12:27,当場,45,-15,当場,発注済,1,28160,12:28
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28160,成行,22/06/08 12:27,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28160,成行,22/06/08 12:27,当場,-,-,-,-,1,28160,12:30
約定済,日経225mini22年06月限,新規(一日),-,買,1,28210,-,-,22/06/08 12:52,当場,45,-15,当場,発注済,1,28210,12:52
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 12:52,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 12:52,当場,-,-,-,-,1,28200,12:54
取消済,日経225mini22年06月限,新規(一日),-,売,1,28200,-,-,22/06/08 13:01,当場,取消済,取消済,取消済,取消済,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,28215,-,-,22/06/08 16:44,当場,45,-15,当場,発注済,1,28215,16:44
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 16:44,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 16:44,当場,-,-,-,-,1,28195,16:47
約定済,日経225mini22年06月限,新規(一日),-,買,1,28200,-,-,22/06/08 16:48,当場,45,-15,当場,発注済,1,28200,16:48
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 16:48,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,28200,成行,22/06/08 16:48,当場,-,-,-,-,1,28200,16:51
約定済,日経225mini22年06月限,新規(一日),-,売,1,28205,-,-,22/06/08 16:53,当場,-45,15,当場,発注済,1,28205,16:53
訂正済失効,日経225mini22年06月限,返済(一日),追跡,買,1,成行,28205,成行,22/06/08 16:53,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,買,1,成行,28205,成行,22/06/08 16:53,当場,-,-,-,-,1,28210,16:56